Utility to process github logs
Going to process projects/top_C++/Torque3D/all_log_nomerge_function.txt 
---------- Torque3D ------------

COMMIT: b34b1a70fa79cf806ffd3d1a70ecb575a9a0de9c
COMMIT: 262a08b854a503853769f24e0ac5b585c9a9b687
COMMIT: 4f3be256991ff9eae19ada54a3e3a1c7bf9e7d74
COMMIT: b43b6d22422efeff831b14f6d1e41a9e954b6f07
COMMIT: 552cb87770afea8f7faa9354e40d7f2f258d1918
COMMIT: 2864edf2915d47bd4cc5194c792c70eefefa5396
COMMIT: c2da67d47302111514cd9bcf189a84e7c45e139e
COMMIT: 18c5c252976da63a9ef232350a36d958efc2b1ef
COMMIT: 3cdfcb19d4a79201ded24d232ad08159389efe08
COMMIT: 2f2d7cf3885b990b957bc4ab55abf8f83756903c
COMMIT: 56d434132ed76cdfb34ce85e295a743f1b3d5231
COMMIT: 21ecb6f50d4aee89e3d9b8dcaf0f32eaa6b191ca
COMMIT: ad0899ae27d2870801081e301ba2137acb707a84
COMMIT: 369cb2f6947fefa50c459bb5a30f92e050616094
COMMIT: b7c720d01de4efbbec98067d1ae2401624a33b1f
COMMIT: e332609003048069cd6d236d629e3d4b71b05efc
COMMIT: 523adea85da13dce4b19cb1e9fcdada14083454f
COMMIT: f64e711f68dd0270687a8204aa5d8ae7be4395bf
COMMIT: 0a8eb6fbcd4dd76644338b333d1f5e704d2bead6
COMMIT: 7b184312df2a2dfcc337b624dfd8f50179bd9d1d
COMMIT: 242bce3b622a92fcb9111d810d6bd50facd0f233
COMMIT: a3bdaf128fffef2c692ada611c4ac3ab9d178aa6
COMMIT: 9bed39b7d08b52d6ec7f3ed642d0afa2d113175c
